language,setting,agent_critical,agent_minor,agent_correct,user_critical,user_minor,user_correct
Chinese,L2 Interaction,39.88,18.52,41.59,23.52,36.19,40.29
Chinese,L2 Domain,45.70,19.90,34.40,23.12,34.16,42.73
Filipino,L2 Interaction,39.80,21.15,39.05,28.05,34.32,37.63
Filipino,L2 Domain,47.98,19.66,32.35,29.34,34.62,36.05
Indonesian,L2 Interaction,42.85,20.08,37.07,22.23,35.94,41.83
Indonesian,L2 Domain,46.08,20.64,33.29,24.15,32.25,43.60
Thai,L2 Interaction,47.70,19.00,33.30,24.25,35.05,40.71
Thai,L2 Domain,52.06,17.91,30.03,30.84,25.77,43.39
Vietnamese,L2 Interaction,41.13,24.46,34.40,23.98,34.94,41.08
Vietnamese,L2 Domain,41.54,21.98,36.47,23.59,31.92,44.49
English,L2 Interaction,38.27,22.73,39.00,21.02,36.50,42.49
English,L2 Domain,38.27,22.73,39.00,21.02,36.50,42.49
