setting,language,domain,role,category,severity,count,turns,total_sims
English Baseline,English,telecom,agent,outcome,critical,110,3014,342
English Baseline,English,telecom,agent,outcome,benign,113,3014,342
English Baseline,English,telecom,agent,outcome,correct,119,3014,342
English Baseline,English,telecom,agent,guideline_violation,critical,88,3014,342
English Baseline,English,telecom,agent,guideline_violation,benign,81,3014,342
English Baseline,English,telecom,agent,missed_required_action,critical,127,3014,342
English Baseline,English,telecom,agent,missed_required_action,benign,144,3014,342
English Baseline,English,telecom,agent,incorrect_interpretation,critical,39,3014,342
English Baseline,English,telecom,agent,incorrect_interpretation,benign,94,3014,342
English Baseline,English,telecom,agent,premature_termination,critical,25,3014,342
English Baseline,English,telecom,agent,premature_termination,benign,4,3014,342
English Baseline,English,telecom,agent,inconsistent_behavior,critical,9,3014,342
English Baseline,English,telecom,agent,inconsistent_behavior,benign,28,3014,342
English Baseline,English,telecom,agent,hallucination,critical,4,3014,342
English Baseline,English,telecom,agent,hallucination,benign,8,3014,342
English Baseline,English,telecom,agent,wrong_sequence,critical,6,3014,342
English Baseline,English,telecom,agent,wrong_sequence,benign,12,3014,342
English Baseline,English,telecom,agent,tool_call_argument_error,critical,1,3014,342
English Baseline,English,telecom,agent,tool_call_argument_error,benign,0,3014,342
English Baseline,English,telecom,agent,irrelevant_tool_call,critical,0,3014,342
English Baseline,English,telecom,agent,irrelevant_tool_call,benign,10,3014,342
English Baseline,English,telecom,agent,tool_call_schema_error,critical,0,3014,342
English Baseline,English,telecom,agent,tool_call_schema_error,benign,1,3014,342
English Baseline,English,telecom,agent,revealed_info_early,critical,0,3014,342
English Baseline,English,telecom,agent,revealed_info_early,benign,2,3014,342
English Baseline,English,telecom,agent,other,critical,0,3014,342
English Baseline,English,telecom,agent,other,benign,6,3014,342
English Baseline,English,telecom,agent,interruption_error,critical,0,3014,342
English Baseline,English,telecom,agent,interruption_error,benign,0,3014,342
English Baseline,English,telecom,user,outcome,critical,50,3202,342
English Baseline,English,telecom,user,outcome,benign,130,3202,342
English Baseline,English,telecom,user,outcome,correct,162,3202,342
English Baseline,English,telecom,user,guideline_violation,critical,25,3202,342
English Baseline,English,telecom,user,guideline_violation,benign,42,3202,342
English Baseline,English,telecom,user,missed_required_action,critical,3,3202,342
English Baseline,English,telecom,user,missed_required_action,benign,24,3202,342
English Baseline,English,telecom,user,incorrect_interpretation,critical,1,3202,342
English Baseline,English,telecom,user,incorrect_interpretation,benign,50,3202,342
English Baseline,English,telecom,user,premature_termination,critical,13,3202,342
English Baseline,English,telecom,user,premature_termination,benign,16,3202,342
English Baseline,English,telecom,user,inconsistent_behavior,critical,24,3202,342
English Baseline,English,telecom,user,inconsistent_behavior,benign,194,3202,342
English Baseline,English,telecom,user,hallucination,critical,52,3202,342
English Baseline,English,telecom,user,hallucination,benign,85,3202,342
English Baseline,English,telecom,user,wrong_sequence,critical,0,3202,342
English Baseline,English,telecom,user,wrong_sequence,benign,0,3202,342
English Baseline,English,telecom,user,tool_call_argument_error,critical,0,3202,342
English Baseline,English,telecom,user,tool_call_argument_error,benign,3,3202,342
English Baseline,English,telecom,user,irrelevant_tool_call,critical,0,3202,342
English Baseline,English,telecom,user,irrelevant_tool_call,benign,0,3202,342
English Baseline,English,telecom,user,tool_call_schema_error,critical,0,3202,342
English Baseline,English,telecom,user,tool_call_schema_error,benign,1,3202,342
English Baseline,English,telecom,user,revealed_info_early,critical,0,3202,342
English Baseline,English,telecom,user,revealed_info_early,benign,0,3202,342
English Baseline,English,telecom,user,other,critical,1,3202,342
English Baseline,English,telecom,user,other,benign,10,3202,342
English Baseline,English,telecom,user,interruption_error,critical,0,3202,342
English Baseline,English,telecom,user,interruption_error,benign,0,3202,342
English Baseline,English,retail,agent,outcome,critical,98,1750,342
English Baseline,English,retail,agent,outcome,benign,70,1750,342
English Baseline,English,retail,agent,outcome,correct,174,1750,342
English Baseline,English,retail,agent,guideline_violation,critical,70,1750,342
English Baseline,English,retail,agent,guideline_violation,benign,74,1750,342
English Baseline,English,retail,agent,missed_required_action,critical,75,1750,342
English Baseline,English,retail,agent,missed_required_action,benign,53,1750,342
English Baseline,English,retail,agent,incorrect_interpretation,critical,34,1750,342
English Baseline,English,retail,agent,incorrect_interpretation,benign,39,1750,342
English Baseline,English,retail,agent,premature_termination,critical,10,1750,342
English Baseline,English,retail,agent,premature_termination,benign,5,1750,342
English Baseline,English,retail,agent,inconsistent_behavior,critical,10,1750,342
English Baseline,English,retail,agent,inconsistent_behavior,benign,15,1750,342
English Baseline,English,retail,agent,hallucination,critical,7,1750,342
English Baseline,English,retail,agent,hallucination,benign,11,1750,342
English Baseline,English,retail,agent,wrong_sequence,critical,20,1750,342
English Baseline,English,retail,agent,wrong_sequence,benign,7,1750,342
English Baseline,English,retail,agent,tool_call_argument_error,critical,8,1750,342
English Baseline,English,retail,agent,tool_call_argument_error,benign,5,1750,342
English Baseline,English,retail,agent,irrelevant_tool_call,critical,2,1750,342
English Baseline,English,retail,agent,irrelevant_tool_call,benign,3,1750,342
English Baseline,English,retail,agent,tool_call_schema_error,critical,1,1750,342
English Baseline,English,retail,agent,tool_call_schema_error,benign,2,1750,342
English Baseline,English,retail,agent,revealed_info_early,critical,0,1750,342
English Baseline,English,retail,agent,revealed_info_early,benign,0,1750,342
English Baseline,English,retail,agent,other,critical,0,1750,342
English Baseline,English,retail,agent,other,benign,2,1750,342
English Baseline,English,retail,agent,interruption_error,critical,0,1750,342
English Baseline,English,retail,agent,interruption_error,benign,0,1750,342
English Baseline,English,retail,user,outcome,critical,79,1445,342
English Baseline,English,retail,user,outcome,benign,135,1445,342
English Baseline,English,retail,user,outcome,correct,128,1445,342
English Baseline,English,retail,user,guideline_violation,critical,19,1445,342
English Baseline,English,retail,user,guideline_violation,benign,50,1445,342
English Baseline,English,retail,user,missed_required_action,critical,0,1445,342
English Baseline,English,retail,user,missed_required_action,benign,2,1445,342
English Baseline,English,retail,user,incorrect_interpretation,critical,4,1445,342
English Baseline,English,retail,user,incorrect_interpretation,benign,21,1445,342
