setting,language,domain,agent_critical_error,agent_minor_error,agent_correct,user_critical_error,user_minor_error,user_correct,agent_hallucination,agent_incorrect_interpretation,agent_guideline_violation,agent_revealed_info_early,agent_inconsistent_behavior,agent_tool_call_schema_error,agent_tool_call_argument_error,agent_irrelevant_tool_call,agent_premature_termination,agent_missed_required_action,agent_wrong_sequence,agent_interruption_error,agent_other,user_hallucination,user_incorrect_interpretation,user_guideline_violation,user_revealed_info_early,user_inconsistent_behavior,user_tool_call_schema_error,user_tool_call_argument_error,user_irrelevant_tool_call,user_premature_termination,user_missed_required_action,user_wrong_sequence,user_interruption_error,user_other
English Baseline,English,Telecom,110,113,119,50,130,162,crit:4 / min:8,crit:39 / min:94,crit:88 / min:81,crit:0 / min:2,crit:9 / min:28,crit:0 / min:1,crit:1 / min:0,crit:0 / min:10,crit:25 / min:4,crit:127 / min:144,crit:6 / min:12,crit:0 / min:0,crit:0 / min:6,crit:52 / min:85,crit:1 / min:50,crit:25 / min:42,crit:0 / min:0,crit:24 / min:194,crit:0 / min:1,crit:0 / min:3,crit:0 / min:0,crit:13 / min:16,crit:3 / min:24,crit:0 / min:0,crit:0 / min:0,crit:1 / min:10
English Baseline,English,Retail,98,70,174,79,135,128,crit:7 / min:11,crit:34 / min:39,crit:70 / min:74,crit:0 / min:0,crit:10 / min:15,crit:1 / min:2,crit:8 / min:5,crit:2 / min:3,crit:10 / min:5,crit:75 / min:53,crit:20 / min:7,crit:0 / min:0,crit:0 / min:2,crit:69 / min:105,crit:4 / min:21,crit:19 / min:50,crit:0 / min:1,crit:22 / min:93,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:19,crit:0 / min:2,crit:0 / min:0,crit:0 / min:0,crit:0 / min:4
English Baseline,English,Airline,81,22,47,38,48,64,crit:6 / min:7,crit:33 / min:25,crit:100 / min:20,crit:0 / min:1,crit:4 / min:8,crit:0 / min:0,crit:5 / min:4,crit:0 / min:0,crit:28 / min:1,crit:71 / min:16,crit:9 / min:3,crit:0 / min:0,crit:0 / min:1,crit:26 / min:27,crit:4 / min:7,crit:13 / min:26,crit:0 / min:2,crit:15 / min:34,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:10,crit:0 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:1
L2 Tool,Indonesian,Airline,94,20,36,41,41,68,crit:5 / min:6,crit:33 / min:40,crit:87 / min:32,crit:0 / min:0,crit:5 / min:6,crit:0 / min:0,crit:1 / min:4,crit:0 / min:0,crit:19 / min:1,crit:78 / min:17,crit:5 / min:3,crit:0 / min:0,crit:2 / min:1,crit:25 / min:21,crit:3 / min:5,crit:16 / min:13,crit:0 / min:0,crit:13 / min:40,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:16,crit:3 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Tool,"English, Thai",Airline,90,24,36,52,38,60,crit:3 / min:2,crit:34 / min:29,crit:110 / min:22,crit:1 / min:1,crit:3 / min:5,crit:0 / min:1,crit:3 / min:3,crit:0 / min:1,crit:29 / min:1,crit:78 / min:20,crit:5 / min:1,crit:0 / min:0,crit:0 / min:1,crit:46 / min:19,crit:6 / min:8,crit:23 / min:19,crit:0 / min:1,crit:21 / min:37,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:7,crit:1 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Tool,"English, Thai, Vietnamese",Airline,86,17,47,33,54,63,crit:3 / min:5,crit:33 / min:24,crit:97 / min:16,crit:2 / min:1,crit:13 / min:4,crit:1 / min:0,crit:2 / min:5,crit:1 / min:1,crit:35 / min:2,crit:78 / min:14,crit:11 / min:1,crit:0 / min:0,crit:2 / min:0,crit:30 / min:26,crit:4 / min:9,crit:16 / min:22,crit:0 / min:0,crit:19 / min:36,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:7 / min:9,crit:0 / min:0,crit:1 / min:0,crit:0 / min:0,crit:0 / min:3
L2 Tool,"English, Thai, Vietnamese, Indonesian",Airline,89,26,35,35,45,70,crit:2 / min:5,crit:36 / min:34,crit:96 / min:24,crit:0 / min:0,crit:8 / min:9,crit:0 / min:1,crit:1 / min:4,crit:1 / min:3,crit:26 / min:1,crit:87 / min:33,crit:5 / min:1,crit:0 / min:0,crit:1 / min:1,crit:25 / min:21,crit:3 / min:4,crit:19 / min:20,crit:0 / min:0,crit:15 / min:37,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:6 / min:11,crit:1 / min:3,crit:0 / min:0,crit:0 / min:0,crit:1 / min:0
L2 Tool,"English, Thai, Vietnamese, Indonesian, Chinese",Airline,102,15,33,40,41,69,crit:7 / min:2,crit:46 / min:21,crit:103 / min:26,crit:0 / min:0,crit:6 / min:5,crit:0 / min:2,crit:1 / min:2,crit:0 / min:2,crit:45 / min:2,crit:84 / min:21,crit:7 / min:1,crit:0 / min:0,crit:0 / min:1,crit:33 / min:20,crit:1 / min:7,crit:18 / min:14,crit:0 / min:1,crit:25 / min:33,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:3 / min:11,crit:0 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Tool,Thai,Airline,88,28,34,39,45,66,crit:5 / min:2,crit:46 / min:35,crit:105 / min:30,crit:1 / min:1,crit:11 / min:3,crit:0 / min:1,crit:2 / min:6,crit:0 / min:1,crit:21 / min:4,crit:75 / min:22,crit:3 / min:3,crit:0 / min:0,crit:0 / min:1,crit:39 / min:20,crit:3 / min:2,crit:9 / min:17,crit:0 / min:0,crit:19 / min:27,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:17,crit:1 / min:0,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Tool,Filipino,Airline,92,17,41,45,45,60,crit:6 / min:5,crit:39 / min:29,crit:89 / min:21,crit:1 / min:1,crit:3 / min:5,crit:0 / min:0,crit:5 / min:0,crit:0 / min:1,crit:34 / min:1,crit:85 / min:22,crit:5 / min:2,crit:0 / min:0,crit:0 / min:0,crit:35 / min:29,crit:1 / min:4,crit:22 / min:18,crit:0 / min:1,crit:24 / min:33,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:15,crit:1 / min:2,crit:0 / min:1,crit:0 / min:0,crit:0 / min:1
