primary_label,failure_count,relevant_trials,total_failures,summary_level,scenario,domain,normalized_agent_llm,language_scenario,failure_pct_of_all_failures,failure_pct_of_relevant_trials,failure_label
wrong_write_action,8533,45555,19027,overall,,,,,0.44846796657381616,0.18731204039073648,Wrong write action
wrong_write_arguments_or_state,5475,45555,19027,overall,,,,,0.2877489882798129,0.12018439249259137,Wrong write args/state
wrong_read_arguments,1719,45555,19027,overall,,,,,0.09034529878593578,0.0377346065195917,Wrong read args
db_mismatch,1276,45555,19027,overall,,,,,0.06706259525936827,0.0280100976841181,DB mismatch
loop_or_recovery_failure,1016,45555,19027,overall,,,,,0.05339780312187944,0.022302711008670838,Loop/recovery
missing_required_read,522,45555,19027,overall,,,,,0.027434698060650655,0.01145867632532104,Missing read
premature_final_or_incomplete_resolution,486,45555,19027,overall,,,,,0.025542649918536817,0.010668422785643727,Premature/incomplete
wrong_write_action,3032,12904,6379,scenario,l2_domain,,,,0.475309609656686,0.23496590204587725,Wrong write action
wrong_write_action,3022,14998,6645,scenario,l2_tools,,,,0.454778028592927,0.20149353247099613,Wrong write action
wrong_write_arguments_or_state,2156,14998,6645,scenario,l2_tools,,,,0.32445447705041386,0.14375250033337778,Wrong write args/state
wrong_write_action,2168,15307,5398,scenario,l2_interaction,,,,0.4016302334197851,0.14163454628601294,Wrong write action
wrong_write_action,311,2346,605,scenario,english,,,,0.5140495867768595,0.13256606990622335,Wrong write action
wrong_write_arguments_or_state,1621,12904,6379,scenario,l2_domain,,,,0.254115065057219,0.12561996280223187,Wrong write args/state
wrong_write_arguments_or_state,1527,15307,5398,scenario,l2_interaction,,,,0.2828825490922564,0.09975828052524989,Wrong write args/state
wrong_write_arguments_or_state,171,2346,605,scenario,english,,,,0.28264462809917357,0.07289002557544758,Wrong write args/state
wrong_read_arguments,636,12904,6379,scenario,l2_domain,,,,0.09970214767204891,0.04928704277743336,Wrong read args
loop_or_recovery_failure,544,12904,6379,scenario,l2_domain,,,,0.0852798244238909,0.04215747055176689,Loop/recovery
db_mismatch,562,14998,6645,scenario,l2_tools,,,,0.08457486832204665,0.03747166288838512,DB mismatch
wrong_read_arguments,513,14998,6645,scenario,l2_tools,,,,0.07720090293453724,0.03420456060808108,Wrong read args
wrong_read_arguments,511,15307,5398,scenario,l2_interaction,,,,0.09466469062615783,0.033383419350623895,Wrong read args
loop_or_recovery_failure,461,15307,5398,scenario,l2_interaction,,,,0.08540200074101519,0.03011693996210884,Loop/recovery
db_mismatch,423,15307,5398,scenario,l2_interaction,,,,0.07836235642830679,0.027634415626837393,DB mismatch
wrong_read_arguments,59,2346,605,scenario,english,,,,0.09752066115702479,0.02514919011082694,Wrong read args
db_mismatch,263,12904,6379,scenario,l2_domain,,,,0.04122903276375608,0.020381277123372597,DB mismatch
premature_final_or_incomplete_resolution,219,14998,6645,scenario,l2_tools,,,,0.03295711060948081,0.014601946926256834,Premature/incomplete
missing_required_read,176,12904,6379,scenario,l2_domain,,,,0.02759053143125882,0.013639181649101054,Missing read
db_mismatch,28,2346,605,scenario,english,,,,0.04628099173553719,0.011935208866155157,DB mismatch
missing_required_read,164,14998,6645,scenario,l2_tools,,,,0.024680210684725357,0.010934791305507402,Missing read
missing_required_read,162,15307,5398,scenario,l2_interaction,,,,0.03001111522786217,0.01058339321878879,Missing read
premature_final_or_incomplete_resolution,146,15307,5398,scenario,l2_interaction,,,,0.027047054464616523,0.009538119814463971,Premature/incomplete
missing_required_read,20,2346,605,scenario,english,,,,0.03305785123966942,0.008525149190110827,Missing read
premature_final_or_incomplete_resolution,107,12904,6379,scenario,l2_domain,,,,0.016773788995140305,0.008292002479851209,Premature/incomplete
premature_final_or_incomplete_resolution,14,2346,605,scenario,english,,,,0.023140495867768594,0.005967604433077579,Premature/incomplete
