scenario,scenario_label,role,turn_idx,turn_count,non_target_turn_count,non_target_share
l2_domain,L2 Domain,agent,0,12465,0,0.0
l2_domain,L2 Domain,agent,2,10565,2,0.000189
l2_domain,L2 Domain,agent,4,2104,27,0.012833
l2_domain,L2 Domain,agent,5,8,0,0.0
l2_domain,L2 Domain,agent,6,3780,132,0.034921
l2_domain,L2 Domain,agent,7,80,1,0.0125
l2_domain,L2 Domain,agent,8,2674,125,0.046746
l2_domain,L2 Domain,agent,9,190,4,0.021053
l2_domain,L2 Domain,agent,10,4035,218,0.054027
l2_domain,L2 Domain,agent,11,363,10,0.027548
l2_domain,L2 Domain,agent,12,4279,170,0.039729
l2_domain,L2 Domain,agent,13,520,15,0.028846
l2_domain,L2 Domain,agent,14,4506,201,0.044607
l2_domain,L2 Domain,agent,15,561,17,0.030303
l2_domain,L2 Domain,agent,16,4174,197,0.047197
l2_domain,L2 Domain,agent,17,537,15,0.027933
l2_domain,L2 Domain,agent,18,3796,177,0.046628
l2_domain,L2 Domain,agent,19,501,25,0.0499
l2_domain,L2 Domain,agent,20,3494,174,0.0498
l2_domain,L2 Domain,agent,21,425,8,0.018824
l2_domain,L2 Domain,agent,22,3093,177,0.057226
l2_domain,L2 Domain,agent,23,355,15,0.042254
l2_domain,L2 Domain,agent,24,2710,182,0.067159
l2_domain,L2 Domain,agent,25,323,10,0.03096
l2_domain,L2 Domain,agent,26,2397,170,0.070922
l2_domain,L2 Domain,agent,27,238,8,0.033613
l2_domain,L2 Domain,agent,28,2091,144,0.068867
l2_domain,L2 Domain,agent,29,210,5,0.02381
l2_domain,L2 Domain,agent,30,1811,152,0.083932
l2_domain,L2 Domain,agent,31,182,4,0.021978
l2_domain,L2 Domain,agent,32,1662,146,0.087846
l2_domain,L2 Domain,agent,33,155,6,0.03871
l2_domain,L2 Domain,agent,34,1511,155,0.102581
l2_domain,L2 Domain,agent,35,138,10,0.072464
l2_domain,L2 Domain,agent,36,1329,141,0.106095
l2_domain,L2 Domain,agent,37,127,3,0.023622
l2_domain,L2 Domain,agent,38,1227,96,0.07824
l2_domain,L2 Domain,agent,39,107,5,0.046729
l2_domain,L2 Domain,agent,40,1157,109,0.094209
l2_domain,L2 Domain,agent,41,99,1,0.010101
l2_domain,L2 Domain,agent,42,1080,103,0.09537
l2_domain,L2 Domain,agent,43,90,1,0.011111
l2_domain,L2 Domain,agent,44,978,94,0.096115
l2_domain,L2 Domain,agent,45,78,4,0.051282
l2_domain,L2 Domain,agent,46,912,81,0.088816
l2_domain,L2 Domain,agent,47,69,1,0.014493
l2_domain,L2 Domain,agent,48,869,99,0.113924
l2_domain,L2 Domain,agent,49,70,0,0.0
l2_domain,L2 Domain,agent,50,748,82,0.109626
l2_domain,L2 Domain,agent,51,57,0,0.0
l2_domain,L2 Domain,agent,52,719,74,0.102921
l2_domain,L2 Domain,agent,53,64,1,0.015625
l2_domain,L2 Domain,agent,54,640,68,0.10625
l2_domain,L2 Domain,agent,55,49,1,0.020408
l2_domain,L2 Domain,agent,56,569,63,0.110721
l2_domain,L2 Domain,agent,57,51,2,0.039216
l2_domain,L2 Domain,agent,58,528,63,0.119318
l2_domain,L2 Domain,agent,59,51,2,0.039216
l2_domain,L2 Domain,agent,60,503,46,0.091451
l2_domain,L2 Domain,agent,61,47,0,0.0
l2_domain,L2 Domain,agent,62,463,66,0.142549
l2_domain,L2 Domain,agent,63,42,0,0.0
l2_domain,L2 Domain,agent,64,428,50,0.116822
l2_domain,L2 Domain,agent,65,36,1,0.027778
l2_domain,L2 Domain,agent,66,403,57,0.141439
l2_domain,L2 Domain,agent,67,36,1,0.027778
l2_domain,L2 Domain,agent,68,365,56,0.153425
l2_domain,L2 Domain,agent,69,35,3,0.085714
l2_domain,L2 Domain,agent,70,318,40,0.125786
l2_domain,L2 Domain,agent,71,31,0,0.0
l2_domain,L2 Domain,agent,72,288,46,0.159722
l2_domain,L2 Domain,agent,73,24,0,0.0
l2_domain,L2 Domain,agent,74,265,29,0.109434
l2_domain,L2 Domain,agent,75,23,1,0.043478
l2_domain,L2 Domain,agent,76,255,36,0.141176
l2_domain,L2 Domain,agent,77,22,0,0.0
l2_domain,L2 Domain,agent,78,242,36,0.14876
l2_domain,L2 Domain,agent,79,26,0,0.0
l2_domain,L2 Domain,agent,80,198,21,0.106061
l2_domain,L2 Domain,agent,81,15,1,0.066667
l2_domain,L2 Domain,agent,82,169,15,0.088757
l2_domain,L2 Domain,agent,83,19,1,0.052632
l2_domain,L2 Domain,agent,84,144,23,0.159722
l2_domain,L2 Domain,agent,85,15,2,0.133333
l2_domain,L2 Domain,agent,86,134,22,0.164179
l2_domain,L2 Domain,agent,87,16,1,0.0625
l2_domain,L2 Domain,agent,88,110,22,0.2
l2_domain,L2 Domain,agent,89,8,0,0.0
