domain,language,turns,english_share,non_english_share
airline,tool_mix_2,1444,0.9993074792243767,0.0006925207756233176
airline,tool_mix_3,1537,1.0,0.0
airline,tool_mix_4,1509,1.0,0.0
airline,tool_mix_5,1487,1.0,0.0
retail,tool_mix_2,3630,1.0,0.0
retail,tool_mix_3,3718,1.0,0.0
retail,tool_mix_4,3787,1.0,0.0
retail,tool_mix_5,3736,1.0,0.0
telecom,tool_mix_2,6760,0.9905325443786982,0.009467455621301801
telecom,tool_mix_3,6666,0.9905490549054905,0.0094509450945095
telecom,tool_mix_4,6563,0.991772055462441,0.00822794453755904
telecom,tool_mix_5,6630,0.9909502262443439,0.009049773755656076
