scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,normalized_agent_llm,simulation_source,task_id,turns_total,trials_observed,english_turns,non_target_turns,target_turns,english_turn_share,non_target_turn_share,target_turn_share,first_non_target_turn,detected_lang_proportion,detected_lang_proportion_json
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0,19,3,19,0,19,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,1,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,10,24,3,24,0,24,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,11,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,12,19,3,19,0,19,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,13,11,3,11,0,11,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,14,24,3,24,0,24,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,15,18,3,18,0,18,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,16,18,3,18,0,18,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,17,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
