summary_level,scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,experiment_count,task_count,turns_total,detected_turns,english_turns,non_target_turns,target_turns,english_turn_share,non_target_turn_share,target_turn_share,median_task_english_turn_share,median_task_non_target_turn_share,median_first_non_target_turn,detected_lang_proportion,non_target_lang_proportion,detected_lang_proportion_json,non_target_lang_proportion_json
domain_language_model,1-english-only,English,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,1,50,897,897,897,0,897,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,airline,english,EN,en,en,openai/gpt-5-mini,gpt-5-mini,1,50,652,652,652,0,652,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,retail,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,1,114,2177,2177,2177,0,2177,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,retail,english,EN,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,1750,1750,1750,0,1750,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,retail,english,EN,en,en,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,114,1738,1738,1738,0,1738,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,telecom,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,1,114,3227,3227,3227,0,3227,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,1-english-only,English,telecom,english,EN,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,3014,3014,3013,1,3013,0.999668,0.000332,0.999668,1.0,0.0,26.0,en_1.000|pa_0.000,pa_0.000,"{""en"":0.999668,""pa"":0.000332}","{""pa"":0.000332}"
domain_language_model,1-english-only,English,telecom,english,EN,en,en,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,114,2990,2990,2990,0,2990,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,chinese,ZH,zh,en,openai/gpt-5-mini,gpt-5-mini,1,50,697,697,697,0,697,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,chinese,ZH,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,826,826,826,0,826,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
