summary_level,language_metric,outcome_metric,n,pearson_r,r_squared,scenario,domain
overall,user_language_correctness,pass_hat_1,153,-0.079414,0.006307,,
overall,user_language_correctness,pass_hat_2,153,-0.071004,0.005042,,
overall,user_language_correctness,pass_hat_3,153,-0.071744,0.005147,,
overall,user_language_correctness,rho_3,153,-0.111317,0.012391,,
overall,agent_language_correctness,pass_hat_1,153,-0.012572,0.000158,,
overall,agent_language_correctness,pass_hat_2,153,-0.019246,0.000370,,
overall,agent_language_correctness,pass_hat_3,153,-0.026700,0.000713,,
overall,agent_language_correctness,rho_3,153,-0.003169,0.000010,,
scenario,user_language_correctness,pass_hat_1,9,0.276445,0.076422,english,
scenario,user_language_correctness,pass_hat_2,9,0.274042,0.075099,english,
scenario,user_language_correctness,pass_hat_3,9,0.248667,0.061835,english,
scenario,user_language_correctness,rho_3,9,0.072741,0.005291,english,
scenario,agent_language_correctness,pass_hat_1,9,,,english,
scenario,agent_language_correctness,pass_hat_2,9,,,english,
scenario,agent_language_correctness,pass_hat_3,9,,,english,
scenario,agent_language_correctness,rho_3,9,,,english,
scenario,user_language_correctness,pass_hat_1,45,0.206836,0.042781,l2_domain,
scenario,user_language_correctness,pass_hat_2,45,0.192813,0.037177,l2_domain,
scenario,user_language_correctness,pass_hat_3,45,0.159073,0.025304,l2_domain,
scenario,user_language_correctness,rho_3,45,-0.003415,0.000012,l2_domain,
scenario,agent_language_correctness,pass_hat_1,45,0.212411,0.045119,l2_domain,
scenario,agent_language_correctness,pass_hat_2,45,0.211353,0.044670,l2_domain,
scenario,agent_language_correctness,pass_hat_3,45,0.184830,0.034162,l2_domain,
scenario,agent_language_correctness,rho_3,45,0.145003,0.021026,l2_domain,
scenario,user_language_correctness,pass_hat_1,45,-0.071622,0.005130,l2_interaction,
scenario,user_language_correctness,pass_hat_2,45,-0.039846,0.001588,l2_interaction,
scenario,user_language_correctness,pass_hat_3,45,-0.032176,0.001035,l2_interaction,
scenario,user_language_correctness,rho_3,45,-0.121940,0.014869,l2_interaction,
scenario,agent_language_correctness,pass_hat_1,45,0.410439,0.168460,l2_interaction,
scenario,agent_language_correctness,pass_hat_2,45,0.427099,0.182413,l2_interaction,
scenario,agent_language_correctness,pass_hat_3,45,0.422290,0.178329,l2_interaction,
scenario,agent_language_correctness,rho_3,45,0.293247,0.085994,l2_interaction,
scenario,user_language_correctness,pass_hat_1,54,-0.159278,0.025369,l2_tools,
scenario,user_language_correctness,pass_hat_2,54,-0.119233,0.014217,l2_tools,
scenario,user_language_correctness,pass_hat_3,54,-0.100322,0.010064,l2_tools,
scenario,user_language_correctness,rho_3,54,-0.166594,0.027753,l2_tools,
scenario,agent_language_correctness,pass_hat_1,54,0.754596,0.569415,l2_tools,
scenario,agent_language_correctness,pass_hat_2,54,0.732898,0.537139,l2_tools,
scenario,agent_language_correctness,pass_hat_3,54,0.726461,0.527745,l2_tools,
scenario,agent_language_correctness,rho_3,54,0.770566,0.593772,l2_tools,
domain,user_language_correctness,pass_hat_1,51,-0.150051,0.022515,,airline
domain,user_language_correctness,pass_hat_2,51,-0.121603,0.014787,,airline
domain,user_language_correctness,pass_hat_3,51,-0.120444,0.014507,,airline
domain,user_language_correctness,rho_3,51,-0.077739,0.006043,,airline
domain,agent_language_correctness,pass_hat_1,51,-0.220318,0.048540,,airline
