metric,model,language,estimate,ci_low,ci_high,n_domains,n_bootstrap,ci_method
pass@1,gpt-5-mini,chinese,0.677444,0.638000,0.731000,3,1000,bootstrap over domain-level means
pass@1,gpt-5-mini,english,0.664333,0.649000,0.680000,3,1000,bootstrap over domain-level means
pass@1,gpt-5-mini,filipino,0.643444,0.601333,0.713333,3,1000,bootstrap over domain-level means
pass@1,gpt-5-mini,indonesian,0.622889,0.597333,0.638000,3,1000,bootstrap over domain-level means
pass@1,gpt-5-mini,thai,0.599222,0.556667,0.639000,3,1000,bootstrap over domain-level means
pass@1,gpt-5-mini,vietnamese,0.620444,0.596333,0.654000,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,chinese,0.687444,0.632333,0.731667,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,english,0.683333,0.647000,0.714000,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,filipino,0.694333,0.619667,0.754333,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,indonesian,0.658556,0.635000,0.702000,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,thai,0.599667,0.525667,0.642333,3,1000,bootstrap over domain-level means
rho^3,gpt-5-mini,vietnamese,0.654556,0.639333,0.673333,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,chinese,0.757000,0.664500,0.896500,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,english,0.748333,0.561000,0.977000,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,filipino,0.682000,0.559500,0.813000,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,indonesian,0.683333,0.536500,0.843500,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,thai,0.613500,0.450000,0.773500,3,1000,bootstrap over domain-level means
pass@1,kimi-k2.5,vietnamese,0.692500,0.627000,0.804000,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,chinese,0.738667,0.666000,0.835000,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,english,0.806667,0.704000,0.952000,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,filipino,0.683000,0.597500,0.735000,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,indonesian,0.682667,0.535000,0.757500,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,thai,0.620667,0.488500,0.721000,3,1000,bootstrap over domain-level means
rho^3,kimi-k2.5,vietnamese,0.667000,0.575000,0.713000,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,chinese,0.409889,0.266000,0.483667,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,english,0.447000,0.357000,0.591000,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,filipino,0.396556,0.262000,0.467667,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,indonesian,0.422556,0.343000,0.467000,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,thai,0.381889,0.281667,0.442333,3,1000,bootstrap over domain-level means
pass@1,qwen-3-235b-it,vietnamese,0.411444,0.299000,0.471333,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,chinese,0.547889,0.452000,0.605000,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,english,0.479000,0.392000,0.638000,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,filipino,0.558667,0.398333,0.650333,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,indonesian,0.544444,0.399667,0.617333,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,thai,0.557111,0.322000,0.687333,3,1000,bootstrap over domain-level means
rho^3,qwen-3-235b-it,vietnamese,0.532778,0.323333,0.689333,3,1000,bootstrap over domain-level means
