Domain,Model,Metric,English,Vietnamese,Thai,Indonesian,Chinese,Filipino
Airline,gpt-5-mini,pass@1,0.693,0.54,0.593,0.6,0.607,0.56
Airline,gpt-5-mini,pass^2,0.593,0.4,0.453,0.54,0.493,0.433
Airline,gpt-5-mini,pass^3,0.54,0.32,0.36,0.5,0.44,0.38
Airline,gpt-5-mini,rho^3,0.779,0.593,0.607,0.833,0.725,0.679
Airline,qwen3-235b-a22b-inst,pass@1,0.5,0.487,0.46,0.48,0.5,0.473
Airline,qwen3-235b-a22b-inst,pass^2,0.387,0.46,0.413,0.44,0.473,0.42
Airline,qwen3-235b-a22b-inst,pass^3,0.34,0.44,0.38,0.42,0.46,0.4
Airline,qwen3-235b-a22b-inst,rho^3,0.680,0.903,0.826,0.875,0.92,0.846
Airline,kimi-k2.5,pass@1,0.707,0.56,0.547,0.6,0.66,0.6
Airline,kimi-k2.5,pass^2,0.6,0.427,0.387,0.487,0.507,0.487
Airline,kimi-k2.5,pass^3,0.54,0.34,0.3,0.42,0.44,0.4
Airline,kimi-k2.5,rho^3,0.764,0.607,0.548,0.700,0.667,0.667
Airline,qwen3.6-35b-a3b,pass@1,0.773,0.703,0.547,0.727,0.553,0.667
Airline,qwen3.6-35b-a3b,pass^2,0.663,0.627,0.42,0.64,0.453,0.569
Airline,qwen3.6-35b-a3b,pass^3,0.58,0.622,0.36,0.58,0.38,0.511
Airline,qwen3.6-35b-a3b,rho^3,0.75,0.885,0.658,0.798,0.687,0.766
Retail,gpt-5-mini,pass@1,0.655,0.585,0.325,0.541,0.596,0.488
Retail,gpt-5-mini,pass^2,0.497,0.427,0.175,0.392,0.45,0.333
Retail,gpt-5-mini,pass^3,0.412,0.333,0.123,0.325,0.368,0.263
Retail,gpt-5-mini,rho^3,0.629,0.569,0.378,0.601,0.617,0.539
Retail,qwen3-235b-a22b-inst,pass@1,0.579,0.289,0.178,0.243,0.266,0.26
Retail,qwen3-235b-a22b-inst,pass^2,0.415,0.205,0.143,0.17,0.181,0.187
Retail,qwen3-235b-a22b-inst,pass^3,0.342,0.149,0.132,0.14,0.149,0.158
Retail,qwen3-235b-a22b-inst,rho^3,0.591,0.516,0.742,0.576,0.56,0.608
Retail,kimi-k2.5,pass@1,0.561,0.567,0.327,0.433,0.607,0.444
Retail,kimi-k2.5,pass^2,0.442,0.392,0.19,0.287,0.45,0.292
Retail,kimi-k2.5,pass^3,0.395,0.268,0.114,0.202,0.366,0.219
Retail,kimi-k2.5,rho^3,0.704,0.473,0.349,0.467,0.603,0.493
Retail,qwen3.6-35b-a3b,pass@1,0.655,N/A,N/A,0.553,N/A,N/A
Retail,qwen3.6-35b-a3b,pass^2,0.515,N/A,N/A,0.395,N/A,N/A
Retail,qwen3.6-35b-a3b,pass^3,0.439,N/A,N/A,0.298,N/A,N/A
Retail,qwen3.6-35b-a3b,rho^3,0.67,N/A,N/A,0.539,N/A,N/A
Telecom,gpt-5-mini,pass@1,0.713,0.564,0.599,0.497,0.76,0.681
Telecom,gpt-5-mini,pass^2,0.588,0.427,0.447,0.325,0.652,0.547
Telecom,gpt-5-mini,pass^3,0.509,0.36,0.36,0.246,0.588,0.474
Telecom,gpt-5-mini,rho^3,0.714,0.638,0.601,0.495,0.774,0.696
Telecom,qwen3-235b-a22b-inst,pass@1,0.357,0.383,0.284,0.427,0.57,0.33
Telecom,qwen3-235b-a22b-inst,pass^2,0.205,0.213,0.143,0.295,0.401,0.205
Telecom,qwen3-235b-a22b-inst,pass^3,0.132,0.149,0.079,0.211,0.298,0.149
Telecom,qwen3-235b-a22b-inst,rho^3,0.37,0.389,0.278,0.494,0.523,0.452
Telecom,kimi-k2.5,pass@1,0.997,0.699,0.693,0.798,0.863,0.743
Telecom,kimi-k2.5,pass^2,0.953,0.529,0.523,0.681,0.763,0.582
Telecom,kimi-k2.5,pass^3,0.93,0.404,0.43,0.588,0.684,0.474
Telecom,kimi-k2.5,rho^3,0.933,0.578,0.620,0.737,0.793,0.638
Telecom,qwen3.6-35b-a3b,pass@1,0.985,N/A,N/A,N/A,N/A,N/A
Telecom,qwen3.6-35b-a3b,pass^2,0.971,N/A,N/A,N/A,N/A,N/A
Telecom,qwen3.6-35b-a3b,pass^3,0.956,N/A,N/A,N/A,N/A,N/A
Telecom,qwen3.6-35b-a3b,rho^3,0.971,N/A,N/A,N/A,N/A,N/A
