domain,agent_llm,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
airline,Qwen3-235B-A22B-Instruct-2507-FP8,750,0,0.0,750,100.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,azure/gpt-5-mini,750,435,58.0,0,0.0,315,42.0,0,0.0,0.0,1,0.1,0.3,131,17.5,41.6,88,11.7,27.9,0,0.0,0.0,42,5.6,13.3,0,0.0,0.0,52,6.9,16.5,0,0.0,0.0,1,0.1,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,azure/kimi-k2.5,537,62,11.5,6,1.1,469,87.3,0,0.0,0.0,30,5.6,6.4,295,54.9,62.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.6,0.6,0,0.0,0.0,115,21.4,24.5,0,0.0,0.0,0,0.0,0.0,14,2.6,3.0,12,2.2,2.6
airline,openrouter/qwen/qwen3.6-35b-a3b,750,475,63.3,11,1.5,264,35.2,0,0.0,0.0,36,4.8,13.6,95,12.7,36.0,59,7.9,22.3,0,0.0,0.0,35,4.7,13.3,0,0.0,0.0,23,3.1,8.7,14,1.9,5.3,2,0.3,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
retail,Qwen3-235B-A22B-Instruct-2507-FP8,1710,9,0.5,1178,68.9,523,30.6,43,2.5,8.2,281,16.4,53.7,129,7.5,24.7,3,0.2,0.6,0,0.0,0.0,3,0.2,0.6,35,2.0,6.7,1,0.1,0.2,5,0.3,1.0,0,0.0,0.0,23,1.3,4.4,0,0.0,0.0,0,0.0,0.0
retail,azure/gpt-5-mini,1710,867,50.7,0,0.0,843,49.3,0,0.0,0.0,123,7.2,14.6,228,13.3,27.0,252,14.7,29.9,0,0.0,0.0,156,9.1,18.5,50,2.9,5.9,33,1.9,3.9,0,0.0,0.0,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
retail,azure/kimi-k2.5,1710,553,32.3,34,2.0,1123,65.7,88,5.1,7.8,108,6.3,9.6,671,39.2,59.8,84,4.9,7.5,0,0.0,0.0,101,5.9,9.0,21,1.2,1.9,18,1.1,1.6,18,1.1,1.6,2,0.1,0.2,1,0.1,0.1,7,0.4,0.6,4,0.2,0.4
retail,openrouter/qwen/qwen3.6-35b-a3b,1710,395,23.1,61,3.6,1254,73.3,492,28.8,39.2,257,15.0,20.5,301,17.6,24.0,67,3.9,5.3,0,0.0,0.0,51,3.0,4.1,31,1.8,2.5,9,0.5,0.7,38,2.2,3.0,7,0.4,0.6,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0
telecom,Qwen3-235B-A22B-Instruct-2507-FP8,15,9,60.0,0,0.0,6,40.0,0,0.0,0.0,1,6.7,16.7,0,0.0,0.0,0,0.0,0.0,5,33.3,83.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,azure/gpt-5-mini,690,175,25.4,243,35.2,272,39.4,116,16.8,42.6,10,1.4,3.7,21,3.0,7.7,5,0.7,1.8,119,17.2,43.8,0,0.0,0.0,0,0.0,0.0,1,0.1,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,openrouter/qwen/qwen3.6-35b-a3b,1709,0,0.0,409,23.9,1300,76.1,412,24.1,31.7,728,42.6,56.0,18,1.1,1.4,0,0.0,0.0,124,7.3,9.5,0,0.0,0.0,18,1.1,1.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
