domain,lang,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
airline,id,600,223,37.2,150,25.0,227,37.8,0,0.0,0.0,6,1.0,2.6,131,21.8,57.7,33,5.5,14.5,0,0.0,0.0,21,3.5,9.3,0,0.0,0.0,10,1.7,4.4,23,3.8,10.1,0,0.0,0.0,0,0.0,0.0,1,0.2,0.4,2,0.3,0.9
airline,th,600,172,28.7,156,26.0,272,45.3,0,0.0,0.0,11,1.8,4.0,138,23.0,50.7,24,4.0,8.8,0,0.0,0.0,12,2.0,4.4,3,0.5,1.1,19,3.2,7.0,64,10.7,23.5,1,0.2,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,tl,600,212,35.3,156,26.0,232,38.7,0,0.0,0.0,9,1.5,3.9,138,23.0,59.5,23,3.8,9.9,0,0.0,0.0,12,2.0,5.2,0,0.0,0.0,14,2.3,6.0,20,3.3,8.6,1,0.2,0.4,0,0.0,0.0,11,1.8,4.7,4,0.7,1.7
airline,vi,537,191,35.6,155,28.9,191,35.6,0,0.0,0.0,17,3.2,8.9,72,13.4,37.7,36,6.7,18.8,0,0.0,0.0,23,4.3,12.0,0,0.0,0.0,18,3.4,9.4,17,3.2,8.9,0,0.0,0.0,0,0.0,0.0,2,0.4,1.0,6,1.1,3.1
airline,zh,450,174,38.7,150,33.3,126,28.0,0,0.0,0.0,24,5.3,19.0,42,9.3,33.3,31,6.9,24.6,0,0.0,0.0,9,2.0,7.1,0,0.0,0.0,14,3.1,11.1,5,1.1,4.0,1,0.2,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
retail,id,1368,418,30.6,0,0.0,950,69.4,104,7.6,10.9,293,21.4,30.8,376,27.5,39.6,95,6.9,10.0,0,0.0,0.0,47,3.4,4.9,1,0.1,0.1,7,0.5,0.7,12,0.9,1.3,3,0.2,0.3,12,0.9,1.3,0,0.0,0.0,0,0.0,0.0
retail,th,1368,315,23.0,195,14.3,858,62.7,63,4.6,7.3,161,11.8,18.8,269,19.7,31.4,73,5.3,8.5,0,0.0,0.0,121,8.8,14.1,136,9.9,15.9,14,1.0,1.6,5,0.4,0.6,4,0.3,0.5,12,0.9,1.4,0,0.0,0.0,0,0.0,0.0
retail,tl,1368,179,13.1,348,25.4,841,61.5,233,17.0,27.7,103,7.5,12.2,395,28.9,47.0,57,4.2,6.8,0,0.0,0.0,7,0.5,0.8,0,0.0,0.0,11,0.8,1.3,23,1.7,2.7,1,0.1,0.1,0,0.0,0.0,7,0.5,0.8,4,0.3,0.5
retail,vi,1368,372,27.2,386,28.2,610,44.6,139,10.2,22.8,136,9.9,22.3,167,12.2,27.4,77,5.6,12.6,0,0.0,0.0,67,4.9,11.0,0,0.0,0.0,6,0.4,1.0,17,1.2,2.8,0,0.0,0.0,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0
retail,zh,1368,540,39.5,344,25.1,484,35.4,84,6.1,17.4,76,5.6,15.7,122,8.9,25.2,104,7.6,21.5,0,0.0,0.0,69,5.0,14.3,0,0.0,0.0,23,1.7,4.8,4,0.3,0.8,2,0.1,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,id,693,176,25.4,5,0.7,512,73.9,53,7.6,10.4,293,42.3,57.2,22,3.2,4.3,5,0.7,1.0,137,19.8,26.8,0,0.0,0.0,1,0.1,0.2,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,th,684,1,0.1,296,43.3,387,56.6,72,10.5,18.6,190,27.8,49.1,9,1.3,2.3,0,0.0,0.0,99,14.5,25.6,0,0.0,0.0,17,2.5,4.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,tl,345,1,0.3,342,99.1,2,0.6,0,0.0,0.0,1,0.3,50.0,1,0.3,50.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,vi,347,4,1.2,8,2.3,335,96.5,283,81.6,84.5,51,14.7,15.2,0,0.0,0.0,0,0.0,0.0,1,0.3,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,zh,345,2,0.6,1,0.3,342,99.1,120,34.8,35.1,204,59.1,59.6,7,2.0,2.0,0,0.0,0.0,11,3.2,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
