group,group_value,domain,primary_failure_mode,count,pct_all,pct_agent_failures,total_simulations,agent_failure_count,lang,agent_llm,run
by_domain,airline,airline,success,972,34.9,,2787,1048,,,
by_domain,airline,airline,non_agent_infrastructure,767,27.5,,2787,1048,,,
by_domain,airline,airline,tool_error_loop,67,2.4,6.4,2787,1048,,,
by_domain,airline,airline,missing_required_write,521,18.7,49.7,2787,1048,,,
by_domain,airline,airline,wrong_write_arguments_or_state,147,5.3,14.0,2787,1048,,,
by_domain,airline,airline,premature_refusal_or_policy_misread,77,2.8,7.3,2787,1048,,,
by_domain,airline,airline,translated_identifier_lookup_failure,3,0.1,0.3,2787,1048,,,
by_domain,airline,airline,non_action_assertion_failure,75,2.7,7.2,2787,1048,,,
by_domain,airline,airline,dialogue_or_action_loop,129,4.6,12.3,2787,1048,,,
by_domain,airline,airline,wrong_read_arguments,3,0.1,0.3,2787,1048,,,
by_domain,airline,airline,language_drift,14,0.5,1.3,2787,1048,,,
by_domain,airline,airline,unclassified_failure,12,0.4,1.1,2787,1048,,,
by_domain,retail,retail,success,1824,26.7,,6840,3743,,,
by_domain,retail,retail,non_agent_infrastructure,1273,18.6,,6840,3743,,,
by_domain,retail,retail,credential_or_identifier_hallucination,623,9.1,16.6,6840,3743,,,
by_domain,retail,retail,tool_error_loop,769,11.2,20.5,6840,3743,,,
by_domain,retail,retail,missing_required_write,1329,19.4,35.5,6840,3743,,,
by_domain,retail,retail,wrong_write_arguments_or_state,406,5.9,10.8,6840,3743,,,
by_domain,retail,retail,premature_refusal_or_policy_misread,311,4.5,8.3,6840,3743,,,
by_domain,retail,retail,translated_identifier_lookup_failure,137,2.0,3.7,6840,3743,,,
by_domain,retail,retail,non_action_assertion_failure,61,0.9,1.6,6840,3743,,,
by_domain,retail,retail,dialogue_or_action_loop,61,0.9,1.6,6840,3743,,,
by_domain,retail,retail,wrong_read_arguments,10,0.1,0.3,6840,3743,,,
by_domain,retail,retail,max_steps_or_dialogue_loop,25,0.4,0.7,6840,3743,,,
by_domain,retail,retail,language_drift,7,0.1,0.2,6840,3743,,,
by_domain,retail,retail,unclassified_failure,4,0.1,0.1,6840,3743,,,
by_domain,telecom,telecom,success,184,7.6,,2414,1578,,,
by_domain,telecom,telecom,non_agent_infrastructure,652,27.0,,2414,1578,,,
by_domain,telecom,telecom,credential_or_identifier_hallucination,528,21.9,33.5,2414,1578,,,
by_domain,telecom,telecom,tool_error_loop,739,30.6,46.8,2414,1578,,,
