lang,agent_llm,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
id,Qwen3-235B-A22B-Instruct-2507-FP8,501,12,2.4,150,29.9,339,67.7,38,7.6,11.2,186,37.1,54.9,94,18.8,27.7,3,0.6,0.9,3,0.6,0.9,0,0.0,0.0,0,0.0,0.0,1,0.2,0.3,3,0.6,0.9,0,0.0,0.0,11,2.2,3.2,0,0.0,0.0,0,0.0,0.0
id,azure/gpt-5-mini,834,445,53.4,0,0.0,389,46.6,50,6.0,12.9,39,4.7,10.0,89,10.7,22.9,74,8.9,19.0,91,10.9,23.4,32,3.8,8.2,1,0.1,0.3,13,1.6,3.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
id,azure/kimi-k2.5,492,62,12.6,0,0.0,430,87.4,66,13.4,15.3,48,9.8,11.2,269,54.7,62.6,5,1.0,1.2,0,0.0,0.0,5,1.0,1.2,0,0.0,0.0,0,0.0,0.0,32,6.5,7.4,1,0.2,0.2,1,0.2,0.2,1,0.2,0.2,2,0.4,0.5
id,openrouter/qwen/qwen3.6-35b-a3b,834,298,35.7,5,0.6,531,63.7,3,0.4,0.6,319,38.2,60.1,77,9.2,14.5,51,6.1,9.6,43,5.2,8.1,31,3.7,5.8,1,0.1,0.2,4,0.5,0.8,0,0.0,0.0,2,0.2,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,Qwen3-235B-A22B-Instruct-2507-FP8,493,4,0.8,302,61.3,187,37.9,5,1.0,2.7,95,19.3,50.8,35,7.1,18.7,0,0.0,0.0,0,0.0,0.0,3,0.6,1.6,35,7.1,18.7,0,0.0,0.0,2,0.4,1.1,0,0.0,0.0,12,2.4,6.4,0,0.0,0.0,0,0.0,0.0
th,azure/gpt-5-mini,834,200,24.0,243,29.1,391,46.9,66,7.9,16.9,23,2.8,5.9,81,9.7,20.7,56,6.7,14.3,28,3.4,7.2,68,8.2,17.4,49,5.9,12.5,20,2.4,5.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,azure/kimi-k2.5,492,125,25.4,6,1.2,361,73.4,2,0.4,0.6,10,2.0,2.8,202,41.1,56.0,19,3.9,5.3,0,0.0,0.0,40,8.1,11.1,24,4.9,6.6,5,1.0,1.4,58,11.8,16.1,1,0.2,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,openrouter/qwen/qwen3.6-35b-a3b,833,159,19.1,96,11.5,578,69.4,62,7.4,10.7,234,28.1,40.5,98,11.8,17.0,22,2.6,3.8,71,8.5,12.3,22,2.6,3.8,48,5.8,8.3,8,1.0,1.4,9,1.1,1.6,4,0.5,0.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,Qwen3-235B-A22B-Instruct-2507-FP8,493,0,0.0,492,99.8,1,0.2,0,0.0,0.0,1,0.2,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/gpt-5-mini,494,252,51.0,0,0.0,242,49.0,0,0.0,0.0,33,6.7,13.6,105,21.3,43.4,70,14.2,28.9,0,0.0,0.0,11,2.2,4.5,0,0.0,0.0,21,4.3,8.7,0,0.0,0.0,2,0.4,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/kimi-k2.5,492,43,8.7,0,0.0,449,91.3,20,4.1,4.5,25,5.1,5.6,352,71.5,78.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,5.3,5.8,0,0.0,0.0,0,0.0,0.0,18,3.7,4.0,8,1.6,1.8
tl,openrouter/qwen/qwen3.6-35b-a3b,834,97,11.6,354,42.4,383,45.9,213,25.5,55.6,54,6.5,14.1,77,9.2,20.1,10,1.2,2.6,0,0.0,0.0,8,1.0,2.1,0,0.0,0.0,4,0.5,1.0,17,2.0,4.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
vi,Qwen3-235B-A22B-Instruct-2507-FP8,495,2,0.4,492,99.4,1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.2,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
vi,azure/gpt-5-mini,494,283,57.3,0,0.0,211,42.7,0,0.0,0.0,16,3.2,7.6,57,11.5,27.0,73,14.8,34.6,0,0.0,0.0,50,10.1,23.7,0,0.0,0.0,15,3.0,7.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
vi,azure/kimi-k2.5,429,178,41.5,32,7.5,219,51.0,0,0.0,0.0,31,7.2,14.2,103,24.0,47.0,26,6.1,11.9,0,0.0,0.0,31,7.2,14.2,0,0.0,0.0,3,0.7,1.4,17,4.0,7.8,0,0.0,0.0,0,0.0,0.0,2,0.5,0.9,6,1.4,2.7
vi,openrouter/qwen/qwen3.6-35b-a3b,834,104,12.5,25,3.0,705,84.5,422,50.6,59.9,157,18.8,22.3,79,9.5,11.2,14,1.7,2.0,0,0.0,0.0,9,1.1,1.3,0,0.0,0.0,6,0.7,0.9,17,2.0,2.4,0,0.0,0.0,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0
