run,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
2026-05-15-03-01-04_telecom_th_qwen3-235b-a22b-2507_Qwen3-235B-A22B-Instruct-2507-FP8,1,1,100.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-15-03-03-58_telecom_tl_qwen3-235b-a22b-2507_Qwen3-235B-A22B-Instruct-2507-FP8,1,0,0.0,0,0.0,1,100.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-15-03-08-24_telecom_zh_qwen3-235b-a22b-2507_Qwen3-235B-A22B-Instruct-2507-FP8,1,0,0.0,0,0.0,1,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,342,185,54.1,0,0.0,157,45.9,0,0.0,0.0,31,9.1,19.7,46,13.5,29.3,53,15.5,33.8,0,0.0,0.0,21,6.1,13.4,1,0.3,0.6,5,1.5,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,150,90,60.0,0,0.0,60,40.0,0,0.0,0.0,0,0.0,0.0,26,17.3,43.3,16,10.7,26.7,0,0.0,0.0,11,7.3,18.3,0,0.0,0.0,7,4.7,11.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-14-01-15_retail_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,38,11.1,0,0.0,304,88.9,66,19.3,21.7,42,12.3,13.8,175,51.2,57.6,5,1.5,1.6,0,0.0,0.0,5,1.5,1.6,0,0.0,0.0,0,0.0,0.0,9,2.6,3.0,1,0.3,0.3,1,0.3,0.3,0,0.0,0.0,0,0.0,0.0
2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,150,89,59.3,0,0.0,61,40.7,0,0.0,0.0,0,0.0,0.0,23,15.3,37.7,16,10.7,26.2,0,0.0,0.0,7,4.7,11.5,0,0.0,0.0,15,10.0,24.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,150,84,56.0,0,0.0,66,44.0,0,0.0,0.0,0,0.0,0.0,38,25.3,57.6,13,8.7,19.7,0,0.0,0.0,4,2.7,6.1,0,0.0,0.0,10,6.7,15.2,0,0.0,0.0,1,0.7,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-18-39-31_retail_th_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,124,36.3,0,0.0,218,63.7,2,0.6,0.9,7,2.0,3.2,120,35.1,55.0,19,5.6,8.7,0,0.0,0.0,40,11.7,18.3,21,6.1,9.6,5,1.5,2.3,3,0.9,1.4,1,0.3,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,150,81,54.0,0,0.0,69,46.0,0,0.0,0.0,0,0.0,0.0,21,14.0,30.4,22,14.7,31.9,0,0.0,0.0,14,9.3,20.3,0,0.0,0.0,12,8.0,17.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
