domain,lang,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
airline,id,300,199,66.3,0,0.0,101,33.7,0,0.0,0.0,0,0.0,0.0,37,12.3,36.6,33,11.0,32.7,0,0.0,0.0,21,7.0,20.8,0,0.0,0.0,10,3.3,9.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,th,300,171,57.0,0,0.0,129,43.0,0,0.0,0.0,8,2.7,6.2,56,18.7,43.4,24,8.0,18.6,0,0.0,0.0,12,4.0,9.3,0,0.0,0.0,19,6.3,14.7,9,3.0,7.0,1,0.3,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,tl,450,212,47.1,6,1.3,232,51.6,0,0.0,0.0,9,2.0,3.9,138,30.7,59.5,23,5.1,9.9,0,0.0,0.0,12,2.7,5.2,0,0.0,0.0,14,3.1,6.0,20,4.4,8.6,1,0.2,0.4,0,0.0,0.0,11,2.4,4.7,4,0.9,1.7
airline,vi,300,185,61.7,5,1.7,110,36.7,0,0.0,0.0,0,0.0,0.0,33,11.0,30.0,36,12.0,32.7,0,0.0,0.0,23,7.7,20.9,0,0.0,0.0,18,6.0,16.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,zh,300,174,58.0,0,0.0,126,42.0,0,0.0,0.0,24,8.0,19.0,42,14.0,33.3,31,10.3,24.6,0,0.0,0.0,9,3.0,7.1,0,0.0,0.0,14,4.7,11.1,5,1.7,4.0,1,0.3,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
retail,id,1368,418,30.6,0,0.0,950,69.4,104,7.6,10.9,293,21.4,30.8,376,27.5,39.6,95,6.9,10.0,0,0.0,0.0,47,3.4,4.9,1,0.1,0.1,7,0.5,0.7,12,0.9,1.3,3,0.2,0.3,12,0.9,1.3,0,0.0,0.0,0,0.0,0.0
retail,th,684,235,34.4,0,0.0,449,65.6,2,0.3,0.4,28,4.1,6.2,175,25.6,39.0,59,8.6,13.1,0,0.0,0.0,101,14.8,22.5,70,10.2,15.6,10,1.5,2.2,3,0.4,0.7,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
retail,tl,1026,179,17.4,6,0.6,841,82.0,233,22.7,27.7,103,10.0,12.2,395,38.5,47.0,57,5.6,6.8,0,0.0,0.0,7,0.7,0.8,0,0.0,0.0,11,1.1,1.3,23,2.2,2.7,1,0.1,0.1,0,0.0,0.0,7,0.7,0.8,4,0.4,0.5
retail,vi,1026,372,36.3,44,4.3,610,59.5,139,13.5,22.8,136,13.3,22.3,167,16.3,27.4,77,7.5,12.6,0,0.0,0.0,67,6.5,11.0,0,0.0,0.0,6,0.6,1.0,17,1.7,2.8,0,0.0,0.0,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0
retail,zh,684,333,48.7,0,0.0,351,51.3,84,12.3,23.9,52,7.6,14.8,82,12.0,23.4,70,10.2,19.9,0,0.0,0.0,44,6.4,12.5,0,0.0,0.0,13,1.9,3.7,4,0.6,1.1,2,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,id,342,170,49.7,0,0.0,172,50.3,50,14.6,29.1,8,2.3,4.7,17,5.0,9.9,5,1.5,2.9,91,26.6,52.9,0,0.0,0.0,0,0.0,0.0,1,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
