lang,agent_llm,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
id,Qwen3-235B-A22B-Instruct-2507-FP8,342,6,1.8,0,0.0,336,98.2,38,11.1,11.3,186,54.4,55.4,94,27.5,28.0,3,0.9,0.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.3,0.3,3,0.9,0.9,0,0.0,0.0,11,3.2,3.3,0,0.0,0.0,0,0.0,0.0
id,azure/gpt-5-mini,834,445,53.4,0,0.0,389,46.6,50,6.0,12.9,39,4.7,10.0,89,10.7,22.9,74,8.9,19.0,91,10.9,23.4,32,3.8,8.2,1,0.1,0.3,13,1.6,3.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
id,azure/kimi-k2.5,342,38,11.1,0,0.0,304,88.9,66,19.3,21.7,42,12.3,13.8,175,51.2,57.6,5,1.5,1.6,0,0.0,0.0,5,1.5,1.6,0,0.0,0.0,0,0.0,0.0,9,2.6,3.0,1,0.3,0.3,1,0.3,0.3,0,0.0,0.0,0,0.0,0.0
id,openrouter/qwen/qwen3.6-35b-a3b,492,298,60.6,0,0.0,194,39.4,0,0.0,0.0,34,6.9,17.5,72,14.6,37.1,51,10.4,26.3,0,0.0,0.0,31,6.3,16.0,0,0.0,0.0,4,0.8,2.1,0,0.0,0.0,2,0.4,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,azure/gpt-5-mini,492,200,40.7,0,0.0,292,59.3,0,0.0,0.0,21,4.3,7.2,78,15.9,26.7,56,11.4,19.2,0,0.0,0.0,68,13.8,23.3,49,10.0,16.8,20,4.1,6.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,azure/kimi-k2.5,342,124,36.3,0,0.0,218,63.7,2,0.6,0.9,7,2.0,3.2,120,35.1,55.0,19,5.6,8.7,0,0.0,0.0,40,11.7,18.3,21,6.1,9.6,5,1.5,2.3,3,0.9,1.4,1,0.3,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,openrouter/qwen/qwen3.6-35b-a3b,150,82,54.7,0,0.0,68,45.3,0,0.0,0.0,8,5.3,11.8,33,22.0,48.5,8,5.3,11.8,0,0.0,0.0,5,3.3,7.4,0,0.0,0.0,4,2.7,5.9,9,6.0,13.2,1,0.7,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/gpt-5-mini,492,251,51.0,0,0.0,241,49.0,0,0.0,0.0,33,6.7,13.7,104,21.1,43.2,70,14.2,29.0,0,0.0,0.0,11,2.2,4.6,0,0.0,0.0,21,4.3,8.7,0,0.0,0.0,2,0.4,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/kimi-k2.5,492,43,8.7,0,0.0,449,91.3,20,4.1,4.5,25,5.1,5.6,352,71.5,78.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,5.3,5.8,0,0.0,0.0,0,0.0,0.0,18,3.7,4.0,8,1.6,1.8
tl,openrouter/qwen/qwen3.6-35b-a3b,492,97,19.7,12,2.4,383,77.8,213,43.3,55.6,54,11.0,14.1,77,15.7,20.1,10,2.0,2.6,0,0.0,0.0,8,1.6,2.1,0,0.0,0.0,4,0.8,1.0,17,3.5,4.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
