group,group_value,domain,primary_failure_mode,count,pct_all,pct_agent_failures,total_simulations,agent_failure_count,lang,agent_llm,run
by_domain,airline,airline,success,31,20.7,,150,119,,,
by_domain,airline,airline,tool_error_loop,4,2.7,3.4,150,119,,,
by_domain,airline,airline,missing_required_write,80,53.3,67.2,150,119,,,
by_domain,airline,airline,dialogue_or_action_loop,20,13.3,16.8,150,119,,,
by_domain,airline,airline,language_drift,11,7.3,9.2,150,119,,,
by_domain,airline,airline,unclassified_failure,4,2.7,3.4,150,119,,,
by_domain,retail,retail,success,948,25.2,,3762,2764,,,
by_domain,retail,retail,non_agent_infrastructure,50,1.3,,3762,2764,,,
by_domain,retail,retail,credential_or_identifier_hallucination,562,14.9,20.3,3762,2764,,,
by_domain,retail,retail,tool_error_loop,543,14.4,19.6,3762,2764,,,
by_domain,retail,retail,missing_required_write,1088,28.9,39.4,3762,2764,,,
by_domain,retail,retail,wrong_write_arguments_or_state,203,5.4,7.3,3762,2764,,,
by_domain,retail,retail,premature_refusal_or_policy_misread,178,4.7,6.4,3762,2764,,,
by_domain,retail,retail,translated_identifier_lookup_failure,70,1.9,2.5,3762,2764,,,
by_domain,retail,retail,non_action_assertion_failure,30,0.8,1.1,3762,2764,,,
by_domain,retail,retail,dialogue_or_action_loop,59,1.6,2.1,3762,2764,,,
by_domain,retail,retail,wrong_read_arguments,7,0.2,0.3,3762,2764,,,
by_domain,retail,retail,max_steps_or_dialogue_loop,13,0.3,0.5,3762,2764,,,
by_domain,retail,retail,language_drift,7,0.2,0.3,3762,2764,,,
by_domain,retail,retail,unclassified_failure,4,0.1,0.1,3762,2764,,,
by_domain,telecom,telecom,success,170,49.7,,342,172,,,
by_domain,telecom,telecom,credential_or_identifier_hallucination,50,14.6,29.1,342,172,,,
by_domain,telecom,telecom,tool_error_loop,8,2.3,4.7,342,172,,,
by_domain,telecom,telecom,missing_required_write,17,5.0,9.9,342,172,,,
by_domain,telecom,telecom,wrong_write_arguments_or_state,5,1.5,2.9,342,172,,,
by_domain,telecom,telecom,missing_user_device_instruction,91,26.6,52.9,342,172,,,
by_domain,telecom,telecom,non_action_assertion_failure,1,0.3,0.6,342,172,,,
by_language,id,,success,403,29.5,,1368,965,id,,
by_language,id,,credential_or_identifier_hallucination,154,11.3,16.0,1368,965,id,,
by_language,id,,tool_error_loop,270,19.7,28.0,1368,965,id,,
by_language,id,,missing_required_write,347,25.4,36.0,1368,965,id,,
by_language,id,,wrong_write_arguments_or_state,47,3.4,4.9,1368,965,id,,
by_language,id,,missing_user_device_instruction,91,6.7,9.4,1368,965,id,,
by_language,id,,premature_refusal_or_policy_misread,26,1.9,2.7,1368,965,id,,
by_language,id,,non_action_assertion_failure,3,0.2,0.3,1368,965,id,,
by_language,id,,dialogue_or_action_loop,12,0.9,1.2,1368,965,id,,
by_language,id,,wrong_read_arguments,3,0.2,0.3,1368,965,id,,
by_language,id,,max_steps_or_dialogue_loop,12,0.9,1.2,1368,965,id,,
by_language,th,,success,235,34.4,,684,449,th,,
by_language,th,,credential_or_identifier_hallucination,2,0.3,0.4,684,449,th,,
by_language,th,,tool_error_loop,28,4.1,6.2,684,449,th,,
by_language,th,,missing_required_write,175,25.6,39.0,684,449,th,,
by_language,th,,wrong_write_arguments_or_state,59,8.6,13.1,684,449,th,,
by_language,th,,premature_refusal_or_policy_misread,101,14.8,22.5,684,449,th,,
by_language,th,,translated_identifier_lookup_failure,70,10.2,15.6,684,449,th,,
by_language,th,,non_action_assertion_failure,10,1.5,2.2,684,449,th,,
by_language,th,,dialogue_or_action_loop,3,0.4,0.7,684,449,th,,
by_language,th,,wrong_read_arguments,1,0.1,0.2,684,449,th,,
by_language,tl,,success,210,17.9,,1176,960,tl,,
by_language,tl,,non_agent_infrastructure,6,0.5,,1176,960,tl,,
by_language,tl,,credential_or_identifier_hallucination,233,19.8,24.3,1176,960,tl,,
by_language,tl,,tool_error_loop,107,9.1,11.1,1176,960,tl,,
by_language,tl,,missing_required_write,475,40.4,49.5,1176,960,tl,,
by_language,tl,,wrong_write_arguments_or_state,57,4.8,5.9,1176,960,tl,,
by_language,tl,,premature_refusal_or_policy_misread,7,0.6,0.7,1176,960,tl,,
by_language,tl,,non_action_assertion_failure,11,0.9,1.1,1176,960,tl,,
by_language,tl,,dialogue_or_action_loop,43,3.7,4.5,1176,960,tl,,
by_language,tl,,wrong_read_arguments,1,0.1,0.1,1176,960,tl,,
by_language,tl,,language_drift,18,1.5,1.9,1176,960,tl,,
by_language,tl,,unclassified_failure,8,0.7,0.8,1176,960,tl,,
by_language,vi,,success,172,25.1,,684,468,vi,,
by_language,vi,,non_agent_infrastructure,44,6.4,,684,468,vi,,
by_language,vi,,credential_or_identifier_hallucination,139,20.3,29.7,684,468,vi,,
by_language,vi,,tool_error_loop,120,17.5,25.6,684,468,vi,,
by_language,vi,,missing_required_write,131,19.2,28.0,684,468,vi,,
by_language,vi,,wrong_write_arguments_or_state,26,3.8,5.6,684,468,vi,,
by_language,vi,,premature_refusal_or_policy_misread,31,4.5,6.6,684,468,vi,,
by_language,vi,,non_action_assertion_failure,3,0.4,0.6,684,468,vi,,
by_language,vi,,dialogue_or_action_loop,17,2.5,3.6,684,468,vi,,
by_language,vi,,max_steps_or_dialogue_loop,1,0.1,0.2,684,468,vi,,
by_language,zh,,success,129,37.7,,342,213,zh,,
by_language,zh,,credential_or_identifier_hallucination,84,24.6,39.4,342,213,zh,,
by_language,zh,,tool_error_loop,30,8.8,14.1,342,213,zh,,
by_language,zh,,missing_required_write,57,16.7,26.8,342,213,zh,,
by_language,zh,,wrong_write_arguments_or_state,19,5.6,8.9,342,213,zh,,
by_language,zh,,premature_refusal_or_policy_misread,13,3.8,6.1,342,213,zh,,
by_language,zh,,non_action_assertion_failure,4,1.2,1.9,342,213,zh,,
by_language,zh,,dialogue_or_action_loop,4,1.2,1.9,342,213,zh,,
by_language,zh,,wrong_read_arguments,2,0.6,0.9,342,213,zh,,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,success,6,1.8,,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,credential_or_identifier_hallucination,38,11.1,11.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,tool_error_loop,186,54.4,55.4,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,missing_required_write,94,27.5,28.0,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,wrong_write_arguments_or_state,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,non_action_assertion_failure,1,0.3,0.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,dialogue_or_action_loop,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,max_steps_or_dialogue_loop,11,3.2,3.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,azure/gpt-5-mini,,success,448,43.7,,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,credential_or_identifier_hallucination,50,4.9,8.7,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,tool_error_loop,62,6.0,10.7,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,missing_required_write,138,13.5,23.9,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,wrong_write_arguments_or_state,102,9.9,17.6,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,missing_user_device_instruction,91,8.9,15.7,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,premature_refusal_or_policy_misread,68,6.6,11.8,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,translated_identifier_lookup_failure,49,4.8,8.5,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,non_action_assertion_failure,17,1.7,2.9,1026,578,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,wrong_read_arguments,1,0.1,0.2,1026,578,,azure/gpt-5-mini,
by_agent,azure/kimi-k2.5,,success,377,24.8,,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,non_agent_infrastructure,32,2.1,,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,credential_or_identifier_hallucination,88,5.8,7.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,tool_error_loop,88,5.8,7.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,missing_required_write,711,46.8,64.1,1518,1109,,azure/kimi-k2.5,
