run,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
2026-05-16-14-01-15_retail_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,38,11.1,0,0.0,304,88.9,66,19.3,21.7,42,12.3,13.8,175,51.2,57.6,5,1.5,1.6,0,0.0,0.0,5,1.5,1.6,0,0.0,0.0,0,0.0,0.0,9,2.6,3.0,1,0.3,0.3,1,0.3,0.3,0,0.0,0.0,0,0.0,0.0
2026-05-16-18-39-31_retail_th_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,124,36.3,0,0.0,218,63.7,2,0.6,0.9,7,2.0,3.2,120,35.1,55.0,19,5.6,8.7,0,0.0,0.0,40,11.7,18.3,21,6.1,9.6,5,1.5,2.3,3,0.9,1.4,1,0.3,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,342,111,32.5,0,0.0,231,67.5,0,0.0,0.0,21,6.1,9.1,55,16.1,23.8,40,11.7,17.3,0,0.0,0.0,61,17.8,26.4,49,14.3,21.2,5,1.5,2.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-01-01-01_translated_retail_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,342,189,55.3,0,0.0,153,44.7,0,0.0,0.0,34,9.9,22.2,61,17.8,39.9,34,9.9,22.2,0,0.0,0.0,21,6.1,13.7,0,0.0,0.0,1,0.3,0.7,0,0.0,0.0,2,0.6,1.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,342,167,48.8,0,0.0,175,51.2,0,0.0,0.0,33,9.6,18.9,66,19.3,37.7,57,16.7,32.6,0,0.0,0.0,7,2.0,4.0,0,0.0,0.0,11,3.2,6.3,0,0.0,0.0,1,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-12-11-13_translated_retail_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,342,129,37.7,0,0.0,213,62.3,84,24.6,39.4,30,8.8,14.1,57,16.7,26.8,19,5.6,8.9,0,0.0,0.0,13,3.8,6.1,0,0.0,0.0,4,1.2,1.9,4,1.2,1.9,2,0.6,0.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,342,170,49.7,0,0.0,172,50.3,50,14.6,29.1,8,2.3,4.7,17,5.0,9.9,5,1.5,2.9,91,26.6,52.9,0,0.0,0.0,0,0.0,0.0,1,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,172,50.3,32,9.4,138,40.4,0,0.0,0.0,14,4.1,10.1,64,18.7,46.4,26,7.6,18.8,0,0.0,0.0,31,9.1,22.5,0,0.0,0.0,3,0.9,2.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-19-12-48-24_translated_retail_trial-3_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,342,12,3.5,0,0.0,330,96.5,20,5.8,6.1,21,6.1,6.4,272,79.5,82.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,1.8,1.8,0,0.0,0.0,0,0.0,0.0,7,2.0,2.1,4,1.2,1.2
2026-05-19-15-14-21_translated_airline_trial-3_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,150,31,20.7,0,0.0,119,79.3,0,0.0,0.0,4,2.7,3.4,80,53.3,67.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20,13.3,16.8,0,0.0,0.0,0,0.0,0.0,11,7.3,9.2,4,2.7,3.4
2026-05-20-03-37-20_translated_retail_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,342,0,0.0,6,1.8,336,98.2,213,62.3,63.4,49,14.3,14.6,57,16.7,17.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,5.0,5.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2026-05-20-04-38-18_translated_retail_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,342,0,0.0,12,3.5,330,96.5,139,40.6,42.1,106,31.0,32.1,67,19.6,20.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,5.0,5.2,0,0.0,0.0,1,0.3,0.3,0,0.0,0.0,0,0.0,0.0
2026-05-20-05-58-17_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_single_openrouter,342,6,1.8,0,0.0,336,98.2,38,11.1,11.3,186,54.4,55.4,94,27.5,28.0,3,0.9,0.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.3,0.3,3,0.9,0.9,0,0.0,0.0,11,3.2,3.3,0,0.0,0.0,0,0.0,0.0
