domain,lang,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
airline,id,150,24,16.0,0,0.0,126,84.0,0,0.0,0.0,6,4.0,4.8,94,62.7,74.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,23,15.3,18.3,0,0.0,0.0,0,0.0,0.0,1,0.7,0.8,2,1.3,1.6
airline,th,150,1,0.7,6,4.0,143,95.3,0,0.0,0.0,3,2.0,2.1,82,54.7,57.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.0,2.1,0,0.0,0.0,55,36.7,38.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
airline,tl,150,31,20.7,0,0.0,119,79.3,0,0.0,0.0,4,2.7,3.4,80,53.3,67.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20,13.3,16.8,0,0.0,0.0,0,0.0,0.0,11,7.3,9.2,4,2.7,3.4
airline,vi,87,6,6.9,0,0.0,81,93.1,0,0.0,0.0,17,19.5,21.0,39,44.8,48.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,19.5,21.0,0,0.0,0.0,0,0.0,0.0,2,2.3,2.5,6,6.9,7.4
retail,id,1026,233,22.7,0,0.0,793,77.3,104,10.1,13.1,262,25.5,33.0,330,32.2,41.6,42,4.1,5.3,0,0.0,0.0,26,2.5,3.3,0,0.0,0.0,2,0.2,0.3,12,1.2,1.5,3,0.3,0.4,12,1.2,1.5,0,0.0,0.0,0,0.0,0.0
retail,th,1368,315,23.0,195,14.3,858,62.7,63,4.6,7.3,161,11.8,18.8,269,19.7,31.4,73,5.3,8.5,0,0.0,0.0,121,8.8,14.1,136,9.9,15.9,14,1.0,1.6,5,0.4,0.6,4,0.3,0.5,12,0.9,1.4,0,0.0,0.0,0,0.0,0.0
retail,tl,1026,179,17.4,6,0.6,841,82.0,233,22.7,27.7,103,10.0,12.2,395,38.5,47.0,57,5.6,6.8,0,0.0,0.0,7,0.7,0.8,0,0.0,0.0,11,1.1,1.3,23,2.2,2.7,1,0.1,0.1,0,0.0,0.0,7,0.7,0.8,4,0.4,0.5
retail,vi,684,172,25.1,44,6.4,468,68.4,139,20.3,29.7,120,17.5,25.6,131,19.2,28.0,26,3.8,5.6,0,0.0,0.0,31,4.5,6.6,0,0.0,0.0,3,0.4,0.6,17,2.5,3.6,0,0.0,0.0,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0
retail,zh,342,129,37.7,0,0.0,213,62.3,84,24.6,39.4,30,8.8,14.1,57,16.7,26.8,19,5.6,8.9,0,0.0,0.0,13,3.8,6.1,0,0.0,0.0,4,1.2,1.9,4,1.2,1.9,2,0.6,0.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,id,684,170,24.9,5,0.7,509,74.4,53,7.7,10.4,293,42.8,57.6,22,3.2,4.3,5,0.7,1.0,134,19.6,26.3,0,0.0,0.0,1,0.1,0.2,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,th,683,0,0.0,296,43.3,387,56.7,72,10.5,18.6,190,27.8,49.1,9,1.3,2.3,0,0.0,0.0,99,14.5,25.6,0,0.0,0.0,17,2.5,4.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,tl,1,0,0.0,0,0.0,1,100.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,vi,342,0,0.0,8,2.3,334,97.7,283,82.7,84.7,51,14.9,15.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
telecom,zh,343,0,0.0,1,0.3,342,99.7,120,35.0,35.1,204,59.5,59.6,7,2.0,2.0,0,0.0,0.0,11,3.2,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
