lang,agent_llm,total_simulations,success_count,success_rate,non_agent_infrastructure_count,non_agent_infrastructure_rate,agent_failure_count,agent_failure_rate,credential_or_identifier_hallucination_count,credential_or_identifier_hallucination_rate,credential_or_identifier_hallucination_share_of_agent_failures,tool_error_loop_count,tool_error_loop_rate,tool_error_loop_share_of_agent_failures,missing_required_write_count,missing_required_write_rate,missing_required_write_share_of_agent_failures,wrong_write_arguments_or_state_count,wrong_write_arguments_or_state_rate,wrong_write_arguments_or_state_share_of_agent_failures,missing_user_device_instruction_count,missing_user_device_instruction_rate,missing_user_device_instruction_share_of_agent_failures,premature_refusal_or_policy_misread_count,premature_refusal_or_policy_misread_rate,premature_refusal_or_policy_misread_share_of_agent_failures,translated_identifier_lookup_failure_count,translated_identifier_lookup_failure_rate,translated_identifier_lookup_failure_share_of_agent_failures,non_action_assertion_failure_count,non_action_assertion_failure_rate,non_action_assertion_failure_share_of_agent_failures,dialogue_or_action_loop_count,dialogue_or_action_loop_rate,dialogue_or_action_loop_share_of_agent_failures,wrong_read_arguments_count,wrong_read_arguments_rate,wrong_read_arguments_share_of_agent_failures,max_steps_or_dialogue_loop_count,max_steps_or_dialogue_loop_rate,max_steps_or_dialogue_loop_share_of_agent_failures,language_drift_count,language_drift_rate,language_drift_share_of_agent_failures,unclassified_failure_count,unclassified_failure_rate,unclassified_failure_share_of_agent_failures
id,Qwen3-235B-A22B-Instruct-2507-FP8,342,6,1.8,0,0.0,336,98.2,38,11.1,11.3,186,54.4,55.4,94,27.5,28.0,3,0.9,0.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.3,0.3,3,0.9,0.9,0,0.0,0.0,11,3.2,3.3,0,0.0,0.0,0,0.0,0.0
id,azure/gpt-5-mini,342,170,49.7,0,0.0,172,50.3,50,14.6,29.1,8,2.3,4.7,17,5.0,9.9,5,1.5,2.9,91,26.6,52.9,0,0.0,0.0,0,0.0,0.0,1,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
id,azure/kimi-k2.5,492,62,12.6,0,0.0,430,87.4,66,13.4,15.3,48,9.8,11.2,269,54.7,62.6,5,1.0,1.2,0,0.0,0.0,5,1.0,1.2,0,0.0,0.0,0,0.0,0.0,32,6.5,7.4,1,0.2,0.2,1,0.2,0.2,1,0.2,0.2,2,0.4,0.5
id,openrouter/qwen/qwen3.6-35b-a3b,684,189,27.6,5,0.7,490,71.6,3,0.4,0.6,319,46.6,65.1,66,9.6,13.5,34,5.0,6.9,43,6.3,8.8,21,3.1,4.3,1,0.1,0.2,1,0.1,0.2,0,0.0,0.0,2,0.3,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,Qwen3-235B-A22B-Instruct-2507-FP8,342,3,0.9,152,44.4,187,54.7,5,1.5,2.7,95,27.8,50.8,35,10.2,18.7,0,0.0,0.0,0,0.0,0.0,3,0.9,1.6,35,10.2,18.7,0,0.0,0.0,2,0.6,1.1,0,0.0,0.0,12,3.5,6.4,0,0.0,0.0,0,0.0,0.0
th,azure/gpt-5-mini,684,111,16.2,243,35.5,330,48.2,66,9.6,20.0,23,3.4,7.0,58,8.5,17.6,40,5.8,12.1,28,4.1,8.5,61,8.9,18.5,49,7.2,14.8,5,0.7,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,azure/kimi-k2.5,492,125,25.4,6,1.2,361,73.4,2,0.4,0.6,10,2.0,2.8,202,41.1,56.0,19,3.9,5.3,0,0.0,0.0,40,8.1,11.1,24,4.9,6.6,5,1.0,1.4,58,11.8,16.1,1,0.2,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
th,openrouter/qwen/qwen3.6-35b-a3b,683,77,11.3,96,14.1,510,74.7,62,9.1,12.2,226,33.1,44.3,65,9.5,12.7,14,2.0,2.7,71,10.4,13.9,17,2.5,3.3,48,7.0,9.4,4,0.6,0.8,0,0.0,0.0,3,0.4,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,Qwen3-235B-A22B-Instruct-2507-FP8,1,0,0.0,0,0.0,1,100.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/gpt-5-mini,342,167,48.8,0,0.0,175,51.2,0,0.0,0.0,33,9.6,18.9,66,19.3,37.7,57,16.7,32.6,0,0.0,0.0,7,2.0,4.0,0,0.0,0.0,11,3.2,6.3,0,0.0,0.0,1,0.3,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
tl,azure/kimi-k2.5,492,43,8.7,0,0.0,449,91.3,20,4.1,4.5,25,5.1,5.6,352,71.5,78.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,5.3,5.8,0,0.0,0.0,0,0.0,0.0,18,3.7,4.0,8,1.6,1.8
tl,openrouter/qwen/qwen3.6-35b-a3b,342,0,0.0,6,1.8,336,98.2,213,62.3,63.4,49,14.3,14.6,57,16.7,17.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,5.0,5.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
vi,azure/kimi-k2.5,429,178,41.5,32,7.5,219,51.0,0,0.0,0.0,31,7.2,14.2,103,24.0,47.0,26,6.1,11.9,0,0.0,0.0,31,7.2,14.2,0,0.0,0.0,3,0.7,1.4,17,4.0,7.8,0,0.0,0.0,0,0.0,0.0,2,0.5,0.9,6,1.4,2.7
vi,openrouter/qwen/qwen3.6-35b-a3b,684,0,0.0,20,2.9,664,97.1,422,61.7,63.6,157,23.0,23.6,67,9.8,10.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,2.5,2.6,0,0.0,0.0,1,0.1,0.2,0,0.0,0.0,0,0.0,0.0
zh,Qwen3-235B-A22B-Instruct-2507-FP8,1,0,0.0,0,0.0,1,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zh,openrouter/qwen/qwen3.6-35b-a3b,684,129,18.9,1,0.1,554,81.0,204,29.8,36.8,234,34.2,42.2,64,9.4,11.6,19,2.8,3.4,10,1.5,1.8,13,1.9,2.3,0,0.0,0.0,4,0.6,0.7,4,0.6,0.7,2,0.3,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
